"velocity:0","velocity:1","velocity:2","density","Cell Type"
-3.6e-05,7e-06,-0.000211,1.0006,12
-7.3e-05,-2.7e-05,0.000432,0.99941,12
-0.000369,-3.1e-05,0.000848,0.99937,12
-0.000716,-2.5e-05,0.000857,0.99946,12
-0.000982,-1.6e-05,0.000604,0.99964,12
-0.00112,-5e-06,0.000217,0.99987,12
-0.001122,6e-06,-0.00021,1.0001,12
-0.000987,1.6e-05,-0.000599,1.0004,12
-0.000721,2.4e-05,-0.000856,1.0005,12
-0.000373,3e-05,-0.00085,1.0006,12
-7.3e-05,2.6e-05,-0.000433,1.0006,12
-9.6e-05,-3.2e-05,0.000533,0.99946,12
-0.00048,-4.3e-05,0.001082,0.99939,12
-0.000934,-3.6e-05,0.001113,0.99947,12
-0.001285,-2.3e-05,0.000792,0.99964,12
-0.001469,-7e-06,0.000285,0.99987,12
-0.001471,9e-06,-0.000278,1.0001,12
-0.001291,2.3e-05,-0.000788,1.0004,12
-0.000939,3.5e-05,-0.001114,1.0005,12
-0.000484,4.2e-05,-0.001086,1.0006,12
-9.7e-05,3.2e-05,-0.000535,1.0005,12
-0.000107,-2.3e-05,0.000577,0.9995,12
-0.000533,-3.5e-05,0.001193,0.99941,12
-0.001041,-2.9e-05,0.001239,0.99948,12
-0.001437,-1.9e-05,0.000886,0.99965,12
-0.001645,-6e-06,0.000319,0.99987,12
-0.001647,7e-06,-0.000313,1.0001,12
-0.001442,1.9e-05,-0.000883,1.0003,12
-0.001047,2.9e-05,-0.00124,1.0005,12
-0.000538,3.4e-05,-0.001197,1.0006,12
-0.000107,2.3e-05,-0.00058,1.0005,12
-0.000111,-9e-06,0.000594,0.99952,12
-0.000554,-1.4e-05,0.001236,0.99942,12
-0.001084,-1.2e-05,0.001288,0.99948,12
-0.001499,-7e-06,0.000924,0.99965,12
-0.001717,-2e-06,0.000333,0.99988,12
-0.001719,3e-06,-0.000328,1.0001,12
-0.001504,8e-06,-0.000922,1.0003,12
-0.00109,1.2e-05,-0.001291,1.0005,12
-0.000558,1.3e-05,-0.001241,1.0006,12
-0.000111,9e-06,-0.000597,1.0005,12
-0.000111,9e-06,0.000594,0.99952,12
-0.000554,1.4e-05,0.001236,0.99942,12
-0.001084,1.2e-05,0.001288,0.99948,12
-0.001499,7e-06,0.000924,0.99965,12
-0.001717,2e-06,0.000333,0.99988,12
-0.001719,-3e-06,-0.000328,1.0001,12
-0.001504,-8e-06,-0.000922,1.0003,12
-0.00109,-1.2e-05,-0.001291,1.0005,12
-0.000558,-1.3e-05,-0.001241,1.0006,12
-0.000111,-9e-06,-0.000597,1.0005,12
-0.000107,2.3e-05,0.000577,0.9995,12
-0.000533,3.5e-05,0.001193,0.99941,12
-0.001041,2.9e-05,0.001239,0.99948,12
-0.001437,1.9e-05,0.000886,0.99965,12
-0.001645,6e-06,0.000319,0.99987,12
-0.001647,-7e-06,-0.000313,1.0001,12
-0.001442,-1.9e-05,-0.000883,1.0003,12
-0.001047,-2.9e-05,-0.00124,1.0005,12
-0.000538,-3.4e-05,-0.001197,1.0006,12
-0.000107,-2.3e-05,-0.00058,1.0005,12
-9.6e-05,3.2e-05,0.000533,0.99946,12
-0.00048,4.3e-05,0.001082,0.99939,12
-0.000934,3.6e-05,0.001113,0.99947,12
-0.001285,2.3e-05,0.000792,0.99964,12
-0.001469,7e-06,0.000285,0.99987,12
-0.001471,-9e-06,-0.000278,1.0001,12
-0.001291,-2.3e-05,-0.000788,1.0004,12
-0.000939,-3.5e-05,-0.001114,1.0005,12
-0.000484,-4.2e-05,-0.001086,1.0006,12
-9.7e-05,-3.2e-05,-0.000535,1.0005,12
-7.3e-05,2.7e-05,0.000432,0.99941,12
-0.000369,3.1e-05,0.000848,0.99937,12
-0.000716,2.5e-05,0.000857,0.99946,12
-0.000982,1.6e-05,0.000604,0.99964,12
-0.00112,5e-06,0.000217,0.99987,12
-0.001122,-6e-06,-0.00021,1.0001,12
-0.000987,-1.6e-05,-0.000599,1.0004,12
-0.000721,-2.4e-05,-0.000856,1.0005,12
-0.000373,-3e-05,-0.00085,1.0006,12
-7.3e-05,-2.6e-05,-0.000433,1.0006,12
-3.5e-05,7e-06,0.000211,0.99936,12
-0.000163,7e-06,0.00039,0.99935,12
-0.000312,7e-06,0.000379,0.99945,12
-0.000424,5e-06,0.000261,0.99964,12
-0.000482,2e-06,9.3e-05,0.99987,12
-0.000483,-2e-06,-8.9e-05,1.0001,12
-0.000427,-5e-06,-0.000258,1.0004,12
-0.000315,-7e-06,-0.000378,1.0005,12
-0.000165,-7e-06,-0.00039,1.0007,12
-3.6e-05,-7e-06,-0.000211,1.0006,12
-5.5e-05,-6e-06,0.000343,0.99894,12
-0.000233,-1e-05,0.000592,0.99898,12
-0.000406,-1.2e-05,0.000544,0.99918,12
-0.000514,-8e-06,0.000358,0.99948,12
-0.000562,-3e-06,0.000125,0.99982,12
-0.000563,3e-06,-0.000119,1.0002,12
-0.000518,9e-06,-0.000354,1.0005,12
-0.000411,1.2e-05,-0.000542,1.0008,12
-0.000237,1e-05,-0.000594,1.001,12
-5.6e-05,6e-06,-0.000345,1.0011,12
-0.000105,-2.9e-05,0.000686,0.99901,12
-0.000491,-4.2e-05,0.001264,0.999,12
-0.00088,-3.9e-05,0.001209,0.99918,12
-0.001132,-2.6e-05,0.000817,0.99947,12
-0.001246,-8e-06,0.000288,0.99981,12
-0.001248,1e-05,-0.000276,1.0002,12
-0.00114,2.8e-05,-0.000809,1.0005,12
-0.000889,3.9e-05,-0.001208,1.0008,12
-0.000498,4.1e-05,-0.001268,1.001,12
-0.000106,2.9e-05,-0.00069,1.001,12
-0.000132,-3.8e-05,0.000833,0.99907,12
-0.000612,-5.8e-05,0.001587,0.99902,12
-0.001105,-5.3e-05,0.001546,0.99919,12
-0.001433,-3.5e-05,0.001056,0.99948,12
-0.001586,-1.1e-05,0.000374,0.99981,12
-0.001589,1.4e-05,-0.000361,1.0002,12
-0.001442,3.8e-05,-0.001049,1.0005,12
-0.001115,5.4e-05,-0.001547,1.0008,12
-0.00062,5.7e-05,-0.001594,1.001,12
-0.000134,3.7e-05,-0.000839,1.0009,12
-0.000143,-2.8e-05,0.000895,0.99911,12
-0.000664,-4.6e-05,0.00173,0.99905,12
-0.001205,-4.2e-05,0.001702,0.99921,12
-0.001571,-2.8e-05,0.001171,0.99948,12
-0.001743,-9e-06,0.000415,0.99982,12
-0.001746,1.1e-05,-0.000402,1.0002,12
-0.001579,3e-05,-0.001164,1.0005,12
-0.001215,4.3e-05,-0.001704,1.0008,12
-0.000671,4.6e-05,-0.001738,1.001,12
-0.000145,2.7e-05,-0.000901,1.0009,12
-0.000147,-1.1e-05,0.000917,0.99913,12
-0.000682,-1.8e-05,0.001783,0.99906,12
-0.001243,-1.6e-05,0.001762,0.99921,12
-0.001624,-1.1e-05,0.001216,0.99949,12
-0.001804,-3e-06,0.000432,0.99982,12
-0.001806,4e-06,-0.000419,1.0002,12
-0.001632,1.2e-05,-0.001209,1.0005,12
-0.001252,1.7e-05,-0.001764,1.0008,12
-0.00069,1.8e-05,-0.001792,1.0009,12
-0.000148,1.1e-05,-0.000923,1.0009,12
-0.000147,1.1e-05,0.000917,0.99913,12
